,Company Name,Company Code,Market Cap,Price,Today's Change,Price (30 days),Country
174,CrowdStrike,CRWD,$42.21 B,$176.77,1.24%,,🇺🇸 USA
175,Public Storage,PSA,$42.09 B,$238.71,0.05%,,🇺🇸 USA
176,"Williams Companies
",WMB,$41.84 B,$34.40,0.50%,,🇺🇸 USA
177,"Copart
",CPRT,$41.78 B,$43.52,0.93%,,🇺🇸 USA
178,"Pacific Gas and Electric
",PCG,$41.45 B,$16.30,0.62%,,🇺🇸 USA
179,"Energy Transfer Partners
",ET,$41.35 B,$13.15,0.00%,,🇺🇸 USA
180,Simon Property Group,SPG,$41.22 B,$109.89,4.33%,,🇺🇸 USA
181,"Old Dominion Freight Line
",ODFL,$41.15 B,$376.66,0.65%,,🇺🇸 USA
182,Marvell Technology Group,MRVL,$40.74 B,$47.22,0.83%,,🇺🇸 USA
183,Kimberly-Clark,KMB,$40.43 B,$119.64,0.10%,,🇺🇸 USA
184,Crown Castle,CCI,$40.32 B,$92.98,3.10%,,🇺🇸 USA
185,Paychex,PAYX,$40.11 B,$111.05,0.43%,,🇺🇸 USA
186,"Cheniere Energy
",LNG,$40.04 B,$166.42,0.26%,,🇺🇸 USA
187,Carrier,CARR,$39.98 B,$47.66,0.61%,,🇺🇸 USA
188,"Seagen
",SGEN,$39.94 B,$212.81,0.63%,,🇺🇸 USA
189,Ross Stores,ROST,$39.27 B,$115.97,1.11%,,🇺🇸 USA
190,Ford,F,$39.02 B,$9.75,1.35%,,🇺🇸 USA
191,American Electric Power,AEP,$38.91 B,$75.54,0.17%,,🇺🇸 USA
192,Hilton Worldwide,HLT,$38.85 B,$151.53,0.17%,,🇺🇸 USA
193,Microchip Technology,MCHP,$38.80 B,$71.29,0.89%,,🇺🇸 USA
194,Exelon Corporation,EXC,$38.75 B,$38.94,1.27%,,🇺🇸 USA
195,Edwards Lifesciences,EW,$38.64 B,$63.72,2.18%,,🇺🇸 USA
